contact_id,listing_id,contact_source,contact_timestamp
id_0001,id_0181,partner,2026-01-16 16:04:00
id_0002,id_0248,organic,2025-07-11 07:28:00
id_0003,id_0292,paid,2025-06-23 17:15:00
id_0004,id_0346,paid,2025-03-25 21:08:00
id_0005,id_0175,partner,2025-05-28 03:05:00
id_0006,id_0076,organic,2025-03-01 15:40:00
id_0007,id_0461,paid,2025-03-28 14:00:00
id_0008,id_0135,organic,2025-03-16 22:59:00
id_0009,id_0065,organic,2025-09-18 13:01:00
id_0010,id_0068,paid,2025-09-18 16:58:00
id_0011,id_0182,partner,2025-04-14 12:44:00
id_0012,id_0151,paid,2025-07-19 10:57:00
id_0013,id_0303,organic,2025-07-03 19:06:00
id_0014,id_0038,paid,2025-03-30 14:58:00
id_0015,id_0380,organic,2026-01-25 09:48:00
id_0016,id_0376,partner,2025-12-22 23:49:00
id_0017,id_0043,partner,2025-07-04 00:37:00
id_0018,id_0333,partner,2025-02-26 12:20:00
id_0019,id_0370,paid,2025-09-04 00:00:00
id_0020,id_0175,partner,2025-05-11 18:33:00
id_0021,id_0261,organic,2025-05-27 09:20:00
id_0022,id_0489,partner,2025-02-13 01:52:00
id_0023,id_0108,partner,2025-12-22 16:17:00
id_0024,id_0161,paid,2025-04-20 11:18:00
id_0025,id_0141,paid,2025-09-18 14:14:00
id_0026,id_0481,organic,2026-01-05 19:48:00
id_0027,id_0342,partner,2025-05-04 04:06:00
id_0028,id_0387,partner,2025-08-27 00:38:00
id_0029,id_0276,organic,2025-12-31 00:31:00
id_0030,id_0190,paid,2025-07-12 09:36:00
id_0031,id_0267,partner,2025-07-26 14:18:00
id_0032,id_0362,paid,2025-07-02 14:56:00
id_0033,id_0045,paid,2025-04-05 08:46:00
id_0034,id_0412,organic,2025-04-28 23:50:00
id_0035,id_0168,partner,2025-09-30 16:21:00
id_0036,id_0377,paid,2025-03-04 00:00:00
id_0037,id_0457,partner,2025-06-09 13:06:00
id_0038,id_0163,partner,2025-12-14 17:42:00
id_0039,id_0019,partner,2025-05-04 20:00:00
id_0040,id_0193,organic,2025-08-10 21:12:00
id_0041,id_0249,organic,2025-09-16 23:31:00
id_0042,id_0326,organic,2025-01-08 16:54:00
id_0043,id_0002,organic,2025-03-09 02:31:00
id_0044,id_0364,partner,2025-10-27 01:26:00
id_0045,id_0195,paid,2025-08-14 18:15:00
id_0046,id_0272,organic,2025-08-29 05:56:00
id_0047,id_0449,partner,2025-12-01 21:31:00
id_0048,id_0201,organic,2025-06-27 11:34:00
id_0049,id_0113,paid,2025-10-10 09:26:00
id_0050,id_0127,paid,2025-03-30 13:07:00
id_0051,id_0339,organic,2025-11-13 11:44:00
id_0052,id_0397,organic,2025-12-31 15:38:00
id_0053,id_0015,paid,2025-02-04 08:32:00
id_0054,id_0032,paid,2025-12-01 10:16:00
