listing_id,property_type,city,region,price,created_at,updated_at,agent_id
id_0001,apartment,Montpellier,Occitanie,670852,2025-03-30,2025-04-04,agent_007
id_0002,apartment,Nice,Provence-Alpes,965910,2025-02-10,2025-02-23,agent_007
id_0003,duplex,Amiens,Hauts-de-France,570413,2025-06-13,2025-07-12,agent_003
id_0004,duplex,Versailles,Ile-de-France,716656,2025-10-10,2025-10-18,agent_017
id_0005,duplex,Lyon,Auvergne-Rhone-Alpes,1271917,2025-08-03,2025-08-03,agent_005
id_0006,apartment,Marseille,Provence-Alpes,790016,2025-02-21,2025-03-20,agent_018
id_0007,studio,Pau,Nouvelle-Aquitaine,200412,2025-12-02,2025-12-21,agent_016
id_0008,studio,Boulogne-Billancourt,Ile-de-France,205637,2025-03-15,2025-04-05,agent_013
id_0009,studio,Versailles,Ile-de-France,162279,2025-01-26,2025-02-24,agent_009
id_0010,studio,Bordeaux,Nouvelle-Aquitaine,269166,2025-06-09,2025-06-09,agent_016
id_0011,house,Lille,Hauts-de-France,490913,2025-06-03,2025-06-17,agent_011
id_0012,duplex,Pau,Nouvelle-Aquitaine,393624,2025-04-07,2025-05-06,agent_014
id_0013,duplex,Dunkerque,Hauts-de-France,692073,2025-01-29,2025-02-03,agent_003
id_0014,house,Pau,Nouvelle-Aquitaine,1168430,2025-09-26,2025-09-26,agent_006
id_0015,apartment,Nice,Provence-Alpes,692413,2025-01-17,2025-02-15,agent_012
id_0016,studio,Amiens,Hauts-de-France,196561,2025-08-26,2025-09-15,agent_004
id_0017,house,Lille,Hauts-de-France,740559,2025-09-08,2025-09-13,agent_016
id_0018,studio,Nîmes,Occitanie,142864,2025-05-13,2025-06-04,agent_003
id_0019,loft,Bordeaux,Nouvelle-Aquitaine,528093,2025-03-25,2025-04-18,agent_007
id_0020,house,Nice,Provence-Alpes,948231,2025-11-30,2025-11-30,agent_001
id_0021,house,Grenoble,Auvergne-Rhone-Alpes,980343,2025-01-05,2025-01-05,agent_020
id_0022,loft,Poitiers,Nouvelle-Aquitaine,694763,2025-06-28,2025-07-04,agent_015
id_0023,duplex,Pau,Nouvelle-Aquitaine,407282,2025-01-04,2025-01-25,agent_012
id_0024,studio,Nîmes,Occitanie,128338,2025-09-04,2025-09-04,agent_009
id_0025,studio,Roubaix,Hauts-de-France,168458,2025-12-02,2025-12-30,agent_010
id_0026,duplex,Nice,Provence-Alpes,827961,2025-01-30,2025-02-24,agent_020
id_0027,house,Clermont-Ferrand,Auvergne-Rhone-Alpes,1106320,2025-01-14,2025-01-23,agent_009
id_0028,loft,Saint-Etienne,Auvergne-Rhone-Alpes,337034,2025-10-26,2025-11-13,agent_007
id_0029,duplex,Limoges,Nouvelle-Aquitaine,798844,2025-12-10,2025-12-19,agent_006
id_0030,studio,Amiens,Hauts-de-France,125586,2025-08-30,2025-08-30,agent_009
id_0031,studio,Amiens,Hauts-de-France,123409,2025-04-24,2025-05-17,agent_010
id_0032,studio,Clermont-Ferrand,Auvergne-Rhone-Alpes,168304,2025-10-27,2025-10-27,agent_004
id_0033,duplex,Lyon,Auvergne-Rhone-Alpes,562012,2025-08-30,2025-09-15,agent_004
id_0034,duplex,Dunkerque,Hauts-de-France,612848,2025-07-31,2025-07-31,agent_005
id_0035,studio,Nice,Provence-Alpes,310900,2025-10-19,2025-11-02,agent_005
id_0036,apartment,Limoges,Nouvelle-Aquitaine,711265,2025-06-20,2025-06-25,agent_011
id_0037,apartment,Lille,Hauts-de-France,674012,2025-05-21,2025-05-21,agent_006
id_0038,loft,Montpellier,Occitanie,392318,2025-03-08,2025-03-28,agent_014
id_0039,loft,Saint-Etienne,Auvergne-Rhone-Alpes,701936,2025-01-03,2025-01-03,agent_007
id_0040,apartment,Roubaix,Hauts-de-France,537864,2025-09-29,2025-09-29,agent_001
id_0041,house,Amiens,Hauts-de-France,1077213,2025-06-26,2025-06-29,agent_013
id_0042,house,Nîmes,Occitanie,418458,2025-01-24,2025-01-24,agent_010
id_0043,loft,Clermont-Ferrand,Auvergne-Rhone-Alpes,440288,2025-06-25,2025-07-10,agent_012
id_0044,loft,Nice,Provence-Alpes,480079,2025-04-27,2025-04-27,agent_005
id_0045,duplex,Marseille,Provence-Alpes,829146,2025-03-28,2025-03-28,agent_002
id_0046,duplex,Clermont-Ferrand,Auvergne-Rhone-Alpes,350947,2025-11-01,2025-11-22,agent_004
id_0047,apartment,Lille,Hauts-de-France,321414,2025-08-02,2025-08-05,agent_018
id_0048,house,Pau,Nouvelle-Aquitaine,565477,2025-12-22,2025-12-22,agent_010
id_0049,duplex,Lyon,Auvergne-Rhone-Alpes,874636,2025-11-15,2025-11-19,agent_014
id_0050,studio,Paris,Ile-de-France,324717,2025-02-24,2025-03-15,agent_007
id_0051,studio,Limoges,Nouvelle-Aquitaine,207415,2025-06-01,2025-06-01,agent_018
id_0052,loft,Grenoble,Auvergne-Rhone-Alpes,646663,2025-05-01,2025-05-01,agent_003
id_0053,house,Versailles,Ile-de-France,444458,2025-09-19,2025-09-19,agent_004
id_0054,loft,Limoges,Nouvelle-Aquitaine,610401,2025-05-16,2025-05-19,agent_006
id_0055,studio,Saint-Denis,Ile-de-France,181974,2025-08-07,2025-08-10,agent_002
id_0056,house,Boulogne-Billancourt,Ile-de-France,694625,2025-07-03,2025-08-02,agent_020
id_0057,studio,Bordeaux,Nouvelle-Aquitaine,284763,2025-04-04,2025-04-04,agent_013
id_0058,loft,Clermont-Ferrand,Auvergne-Rhone-Alpes,801476,2025-08-04,2025-08-29,agent_006
id_0059,apartment,Boulogne-Billancourt,Ile-de-France,367138,2025-02-23,2025-03-13,agent_016
id_0060,house,Perpignan,Occitanie,991018,2025-07-14,2025-08-02,agent_001
id_0061,loft,Amiens,Hauts-de-France,811833,2025-02-27,2025-03-13,agent_002
id_0062,studio,Saint-Denis,Ile-de-France,103240,2025-12-27,2026-01-12,agent_019
id_0063,studio,Amiens,Hauts-de-France,236078,2025-09-25,2025-10-14,agent_004
id_0064,loft,Grenoble,Auvergne-Rhone-Alpes,662544,2025-12-06,2025-12-18,agent_005
id_0065,apartment,Toulouse,Occitanie,364550,2025-09-16,2025-10-13,agent_016
id_0066,loft,Marseille,Provence-Alpes,636208,2025-05-04,2025-05-12,agent_002
id_0067,duplex,Montpellier,Occitanie,697030,2025-07-26,2025-07-28,agent_015
id_0068,apartment,Saint-Etienne,Auvergne-Rhone-Alpes,722669,2025-08-17,2025-09-01,agent_001
id_0069,loft,Versailles,Ile-de-France,337572,2025-10-13,2025-11-08,agent_003
id_0070,duplex,Nîmes,Occitanie,889648,2025-04-16,2025-04-30,agent_011
id_0071,house,Bordeaux,Nouvelle-Aquitaine,1239802,2025-06-19,2025-07-08,agent_020
id_0072,loft,Clermont-Ferrand,Auvergne-Rhone-Alpes,419562,2025-02-19,2025-02-26,agent_001
id_0073,studio,Poitiers,Nouvelle-Aquitaine,243573,2025-09-25,2025-09-28,agent_002
